county_fips,incidentId,declaration_count,declaration_numbers
51610,2012102505,2,"3359, 4092"
51610,2020030901,2,"3448, 4512"
51620,2018090602,2,"3403, 4401"
51620,2020030901,2,"3448, 4512"
51630,2020030901,2,"3448, 4512"
51640,2020030901,2,"3448, 4512"
51640,2024092301,2,"3621, 4831"
51650,2011082201,2,"3329, 4024"
51650,2018090602,2,"3403, 4401"
51650,2020030901,2,"3448, 4512"
51660,2020030901,2,"3448, 4512"
51670,2020030901,2,"3448, 4512"
51678,2020030901,2,"3448, 4512"
51680,2020030901,2,"3448, 4512"
51683,2012102505,2,"3359, 4092"
51683,2020030901,2,"3448, 4512"
51685,2020030901,2,"3448, 4512"
51690,2018090602,2,"3403, 4401"
51690,2020030901,2,"3448, 4512"
51700,2011082201,2,"3329, 4024"
51700,2018090602,2,"3403, 4401"
51700,2020030901,2,"3448, 4512"
51710,2011082201,2,"3329, 4024"
51710,2020030901,2,"3448, 4512"
51720,2020030901,2,"3448, 4512"
51720,2024092301,2,"3621, 4831"
51730,2020030901,2,"3448, 4512"
51735,2011082201,2,"3329, 4024"
51735,2020030901,2,"3448, 4512"
51740,2011082201,2,"3329, 4024"
51740,2020030901,2,"3448, 4512"
51750,2020030901,2,"3448, 4512"
51750,2024092301,2,"3621, 4831"
51760,2011082201,2,"3329, 4024"
51760,2018090602,2,"3403, 4401"
51760,2020030901,2,"3448, 4512"
51770,2018090602,2,"3403, 4401"
51770,2020030901,2,"3448, 4512"
51775,2020030901,2,"3448, 4512"
51790,2020030901,2,"3448, 4512"
51800,2011082201,2,"3329, 4024"
51800,2020030901,2,"3448, 4512"
51810,2011082201,2,"3329, 4024"
51810,2020030901,2,"3448, 4512"
51820,2020030901,2,"3448, 4512"
51830,2011082201,2,"3329, 4024"
51830,2018090602,2,"3403, 4401"
51830,2020030901,2,"3448, 4512"
51840,2020030901,2,"3448, 4512"
53001,2020030901,2,"3427, 4481"
53003,2020030901,2,"3427, 4481"
53005,2020030901,2,"3427, 4481"
53007,2020030901,2,"3427, 4481"
53007,2021071401,2,"4631, 5397"
53007,2024072501,2,"4849, 5518"
53007,2025121001,2,"3629, 4906"
53009,2020030901,2,"3427, 4481"
53009,2025121001,2,"3629, 4906"
53011,2020030901,2,"3427, 4481"
